Type,Buy Amount,Buy Currency,Sell Amount,Sell Currency,Fee,Fee Currency,Exchange,Trade Group,Comment,Date
Mining,1.339e-05,HNT2,,,,,Helium,,Block 825527,2021-05-01 01:06:13
Mining,1.773e-05,HNT2,,,,,Helium,,Block 825632,2021-05-01 02:43:30
Mining,0.051639290000000004,HNT2,,,,,Helium,,Block 825764,2021-05-01 04:40:24
Mining,3.378e-05,HNT2,,,,,Helium,,Block 825878,2021-05-01 07:11:32
Mining,13.02083333,HNT2,,,,,Helium,,Block 825915,2021-05-01 07:43:31
Mining,13.02083333,HNT2,,,,,Helium,,Block 825948,2021-05-01 08:12:36
Mining,13.0208549,HNT2,,,,,Helium,,Block 825995,2021-05-01 08:52:55
Mining,0.06345448,HNT2,,,,,Helium,,Block 826069,2021-05-01 09:57:33
Mining,0.04369021,HNT2,,,,,Helium,,Block 826104,2021-05-01 10:28:25
Mining,1.888e-05,HNT2,,,,,Helium,,Block 826143,2021-05-01 11:03:03
Mining,2.213e-05,HNT2,,,,,Helium,,Block 826260,2021-05-01 12:49:41
Mining,0.0357397,HNT2,,,,,Helium,,Block 826366,2021-05-01 14:22:21
Mining,2.457e-05,HNT2,,,,,Helium,,Block 826550,2021-05-01 17:10:15
Mining,1.88e-05,HNT2,,,,,Helium,,Block 826653,2021-05-01 19:23:52
Mining,1.914e-05,HNT2,,,,,Helium,,Block 826771,2021-05-01 21:11:24
Mining,0.03664328,HNT2,,,,,Helium,,Block 826852,2021-05-01 22:24:45
Mining,0.04325088,HNT2,,,,,Helium,,Block 826911,2021-05-01 23:18:35
Mining,2.151e-05,HNT2,,,,,Helium,,Block 827012,2021-05-02 00:52:34
Mining,1.852e-05,HNT2,,,,,Helium,,Block 827117,2021-05-02 02:27:10
Mining,1.314e-05,HNT2,,,,,Helium,,Block 827264,2021-05-02 04:42:21
Mining,2.706e-05,HNT2,,,,,Helium,,Block 827386,2021-05-02 07:23:38
Mining,0.053012000000000004,HNT2,,,,,Helium,,Block 827491,2021-05-02 09:30:54
Mining,1.932e-05,HNT2,,,,,Helium,,Block 827621,2021-05-02 11:32:16
Mining,0.05466505,HNT2,,,,,Helium,,Block 827720,2021-05-02 13:28:00
Mining,3.239e-05,HNT2,,,,,Helium,,Block 827778,2021-05-02 14:26:43
Mining,3.125e-05,HNT2,,,,,Helium,,Block 827850,2021-05-02 15:42:51
Mining,0.14777765,HNT2,,,,,Helium,,Block 828076,2021-05-02 19:44:07
Mining,2.352e-05,HNT2,,,,,Helium,,Block 828116,2021-05-02 20:25:28
Mining,7.43e-06,HNT2,,,,,Helium,,Block 828259,2021-05-02 22:46:19
Mining,1.43e-05,HNT2,,,,,Helium,,Block 828339,2021-05-03 00:20:49
Mining,1.429e-05,HNT2,,,,,Helium,,Block 828377,2021-05-03 00:57:33
Mining,0.05820849,HNT2,,,,,Helium,,Block 828484,2021-05-03 02:38:29
Mining,0.03976226,HNT2,,,,,Helium,,Block 828537,2021-05-03 03:36:30
Mining,0.04809722,HNT2,,,,,Helium,,Block 828620,2021-05-03 05:04:48
Mining,0.05311527,HNT2,,,,,Helium,,Block 828761,2021-05-03 07:25:46
Mining,0.03684454,HNT2,,,,,Helium,,Block 828799,2021-05-03 08:05:57
Mining,2.1430000000000003e-05,HNT2,,,,,Helium,,Block 828840,2021-05-03 08:44:16
Mining,0.90122823,HNT2,,,,,Helium,,Block 828980,2021-05-03 10:59:24
Mining,0.6913724099999999,HNT2,,,,,Helium,,Block 829085,2021-05-03 12:46:34
Mining,2.3129999999999997e-05,HNT2,,,,,Helium,,Block 829133,2021-05-03 13:29:02
Mining,0.12052734,HNT2,,,,,Helium,,Block 829208,2021-05-03 14:36:38
Mining,0.04016601,HNT2,,,,,Helium,,Block 829261,2021-05-03 15:26:11
Mining,0.33737969,HNT2,,,,,Helium,,Block 829300,2021-05-03 16:00:53
Mining,2.164e-05,HNT2,,,,,Helium,,Block 829334,2021-05-03 16:31:54
Mining,0.06748194,HNT2,,,,,Helium,,Block 829470,2021-05-03 18:45:47
Mining,1.6200000000000002e-06,HNT2,,,,,Helium,,Block 829646,2021-05-03 23:35:42
Mining,4.766e-05,HNT2,,,,,Helium,,Block 829720,2021-05-04 03:42:39
Mining,0.03700973,HNT2,,,,,Helium,,Block 829761,2021-05-04 04:45:27
Mining,2.147e-05,HNT2,,,,,Helium,,Block 829851,2021-05-04 07:02:36
Mining,2.239e-05,HNT2,,,,,Helium,,Block 829968,2021-05-04 09:00:01
Mining,0.28531215,HNT2,,,,,Helium,,Block 830076,2021-05-04 10:40:10
Mining,2.1130000000000003e-05,HNT2,,,,,Helium,,Block 830110,2021-05-04 11:09:11
Mining,0.06538454,HNT2,,,,,Helium,,Block 830154,2021-05-04 11:46:34
Mining,2.3400000000000003e-05,HNT2,,,,,Helium,,Block 830212,2021-05-04 12:42:46
Mining,1.17658287,HNT2,,,,,Helium,,Block 830287,2021-05-04 13:49:51
Mining,0.05044954,HNT2,,,,,Helium,,Block 830331,2021-05-04 14:31:37
Mining,0.0609267,HNT2,,,,,Helium,,Block 830432,2021-05-04 16:01:44
Mining,0.04084434,HNT2,,,,,Helium,,Block 830473,2021-05-04 16:49:55
Mining,0.05500554999999999,HNT2,,,,,Helium,,Block 830590,2021-05-04 18:46:59
Mining,0.39741172999999996,HNT2,,,,,Helium,,Block 830697,2021-05-04 20:29:15
Mining,1.769e-05,HNT2,,,,,Helium,,Block 830732,2021-05-04 21:06:28
Mining,0.05573811,HNT2,,,,,Helium,,Block 830842,2021-05-04 23:18:48
Mining,2.2230000000000002e-05,HNT2,,,,,Helium,,Block 830976,2021-05-05 01:53:53
Mining,0.05421363,HNT2,,,,,Helium,,Block 831088,2021-05-05 03:34:40
Mining,1.651e-05,HNT2,,,,,Helium,,Block 831229,2021-05-05 05:39:02
Mining,0.5165381000000001,HNT2,,,,,Helium,,Block 831331,2021-05-05 07:13:40
Mining,0.08691178,HNT2,,,,,Helium,,Block 831422,2021-05-05 08:37:54
Mining,2.073e-05,HNT2,,,,,Helium,,Block 831461,2021-05-05 09:12:46
Mining,0.05587423,HNT2,,,,,Helium,,Block 831527,2021-05-05 10:11:57
Mining,2.2460000000000002e-05,HNT2,,,,,Helium,,Block 831565,2021-05-05 10:45:51
Mining,2.239e-05,HNT2,,,,,Helium,,Block 831597,2021-05-05 11:13:22
Mining,0.08182602,HNT2,,,,,Helium,,Block 831680,2021-05-05 12:30:19
Mining,2.563e-05,HNT2,,,,,Helium,,Block 831713,2021-05-05 12:58:56
