Type,Buy Amount,Buy Currency,Sell Amount,Sell Currency,Fee,Fee Currency,Exchange,Trade Group,Comment,Date,Tx-ID,Buy Value in your Account Currency,Sell Value in your Account Currency
Mining,1.339e-05,HNT2,,,,,Helium,,Block 825527,2021-05-01 01:06:13,,0.00022999105870000002,
Mining,1.773e-05,HNT2,,,,,Helium,,Block 825632,2021-05-01 02:43:30,,0.00029999160000000004,
Mining,0.051639290000000004,HNT2,,,,,Helium,,Block 825764,2021-05-01 04:40:24,,0.8737367868000001,
Mining,3.378e-05,HNT2,,,,,Helium,,Block 825878,2021-05-01 07:11:32,,0.0005800026,
Mining,13.02083333,HNT2,,,,,Helium,,Block 825915,2021-05-01 07:43:31,,223.56770827610003,
Mining,13.02083333,HNT2,,,,,Helium,,Block 825948,2021-05-01 08:12:36,,223.4374999428,
Mining,13.0208549,HNT2,,,,,Helium,,Block 825995,2021-05-01 08:52:55,,223.33891158676,
Mining,0.06345448,HNT2,,,,,Helium,,Block 826069,2021-05-01 09:57:33,,1.0876097872,
Mining,0.04369021,HNT2,,,,,Helium,,Block 826104,2021-05-01 10:28:25,,0.7405490594999999,
Mining,1.888e-05,HNT2,,,,,Helium,,Block 826143,2021-05-01 11:03:03,,0.00032001599999999995,
Mining,2.213e-05,HNT2,,,,,Helium,,Block 826260,2021-05-01 12:49:41,,0.00037001359999999997,
Mining,0.0357397,HNT2,,,,,Helium,,Block 826366,2021-05-01 14:22:21,,0.596495593,
Mining,2.457e-05,HNT2,,,,,Helium,,Block 826550,2021-05-01 17:10:15,,0.0004090905,
Mining,1.88e-05,HNT2,,,,,Helium,,Block 826653,2021-05-01 19:23:52,,0.00031001199999999997,
Mining,1.914e-05,HNT2,,,,,Helium,,Block 826771,2021-05-01 21:11:24,,0.00032002079999999996,
Mining,0.03664328,HNT2,,,,,Helium,,Block 826852,2021-05-01 22:24:45,,0.6120882498216,
Mining,0.04325088,HNT2,,,,,Helium,,Block 826911,2021-05-01 23:18:35,,0.7214246783999999,
Mining,2.151e-05,HNT2,,,,,Helium,,Block 827012,2021-05-02 00:52:34,,0.00036001071899999996,
Mining,1.852e-05,HNT2,,,,,Helium,,Block 827117,2021-05-02 02:27:10,,0.00030996738799999994,
Mining,1.314e-05,HNT2,,,,,Helium,,Block 827264,2021-05-02 04:42:21,,0.00021992286599999998,
Mining,2.706e-05,HNT2,,,,,Helium,,Block 827386,2021-05-02 07:23:38,,0.00044998074,
Mining,0.053012000000000004,HNT2,,,,,Helium,,Block 827491,2021-05-02 09:30:54,,0.92717988,
Mining,1.932e-05,HNT2,,,,,Helium,,Block 827621,2021-05-02 11:32:16,,0.00034003586400000005,
Mining,0.05466505,HNT2,,,,,Helium,,Block 827720,2021-05-02 13:28:00,,0.96211581301,
Mining,3.239e-05,HNT2,,,,,Helium,,Block 827778,2021-05-02 14:26:43,,0.000570070478,
Mining,3.125e-05,HNT2,,,,,Helium,,Block 827850,2021-05-02 15:42:51,,0.00055000625,
Mining,0.14777765,HNT2,,,,,Helium,,Block 828076,2021-05-02 19:44:07,,2.825139223875,
Mining,2.352e-05,HNT2,,,,,Helium,,Block 828116,2021-05-02 20:25:28,,0.00044999639999999995,
Mining,7.43e-06,HNT2,,,,,Helium,,Block 828259,2021-05-02 22:46:19,,0.00013992833555,
Mining,1.43e-05,HNT2,,,,,Helium,,Block 828339,2021-05-03 00:20:49,,0.00026998399999999997,
Mining,1.429e-05,HNT2,,,,,Helium,,Block 828377,2021-05-03 00:57:33,,0.000270081,
Mining,0.05820849,HNT2,,,,,Helium,,Block 828484,2021-05-03 02:38:29,,1.0780998162615,
Mining,0.03976226,HNT2,,,,,Helium,,Block 828537,2021-05-03 03:36:30,,0.7416512402364,
Mining,0.04809722,HNT2,,,,,Helium,,Block 828620,2021-05-03 05:04:48,,0.8958044698614002,
Mining,0.05311527,HNT2,,,,,Helium,,Block 828761,2021-05-03 07:25:46,,0.989176296264,
Mining,0.03684454,HNT2,,,,,Helium,,Block 828799,2021-05-03 08:05:57,,0.6861632373280001,
Mining,2.1430000000000003e-05,HNT2,,,,,Helium,,Block 828840,2021-05-03 08:44:16,,0.00040014096000000007,
Mining,0.90122823,HNT2,,,,,Helium,,Block 828980,2021-05-03 10:59:24,,17.2703717557245,
Mining,0.6913724099999999,HNT2,,,,,Helium,,Block 829085,2021-05-03 12:46:34,,13.183386404016298,
Mining,2.3129999999999997e-05,HNT2,,,,,Helium,,Block 829133,2021-05-03 13:29:02,,0.0004399325999999999,
Mining,0.12052734,HNT2,,,,,Helium,,Block 829208,2021-05-03 14:36:38,,2.2912247334,
Mining,0.04016601,HNT2,,,,,Helium,,Block 829261,2021-05-03 15:26:11,,0.7699824117000001,
Mining,0.33737969,HNT2,,,,,Helium,,Block 829300,2021-05-03 16:00:53,,6.434841558822365,
Mining,2.164e-05,HNT2,,,,,Helium,,Block 829334,2021-05-03 16:31:54,,0.00041010399959439997,
Mining,0.06748194,HNT2,,,,,Helium,,Block 829470,2021-05-03 18:45:47,,1.2600227836800002,
Mining,1.6200000000000002e-06,HNT2,,,,,Helium,,Block 829646,2021-05-03 23:35:42,,2.9937600000000003e-05,
Mining,4.766e-05,HNT2,,,,,Helium,,Block 829720,2021-05-04 03:42:39,,0.0008699544227,
Mining,0.03700973,HNT2,,,,,Helium,,Block 829761,2021-05-04 04:45:27,,0.676263992398,
Mining,2.147e-05,HNT2,,,,,Helium,,Block 829851,2021-05-04 07:02:36,,0.00037998915669999994,
Mining,2.239e-05,HNT2,,,,,Helium,,Block 829968,2021-05-04 09:00:01,,0.00040004548849999997,
Mining,0.28531215,HNT2,,,,,Helium,,Block 830076,2021-05-04 10:40:10,,5.266034883765,
Mining,2.1130000000000003e-05,HNT2,,,,,Helium,,Block 830110,2021-05-04 11:09:11,,0.00038762985000000003,
Mining,0.06538454,HNT2,,,,,Helium,,Block 830154,2021-05-04 11:46:34,,1.1899986280000001,
Mining,2.3400000000000003e-05,HNT2,,,,,Helium,,Block 830212,2021-05-04 12:42:46,,0.0004299786796500001,
Mining,1.17658287,HNT2,,,,,Helium,,Block 830287,2021-05-04 13:49:51,,21.719719780200002,
Mining,0.05044954,HNT2,,,,,Helium,,Block 830331,2021-05-04 14:31:37,,0.928402704804,
Mining,0.0609267,HNT2,,,,,Helium,,Block 830432,2021-05-04 16:01:44,,1.12714395,
Mining,0.04084434,HNT2,,,,,Helium,,Block 830473,2021-05-04 16:49:55,,0.7637891579999999,
Mining,0.05500554999999999,HNT2,,,,,Helium,,Block 830590,2021-05-04 18:46:59,,0.9491152646949998,
Mining,0.39741172999999996,HNT2,,,,,Helium,,Block 830697,2021-05-04 20:29:15,,6.704322603599983,
Mining,1.769e-05,HNT2,,,,,Helium,,Block 830732,2021-05-04 21:06:28,,0.00029993394999999995,
Mining,0.05573811,HNT2,,,,,Helium,,Block 830842,2021-05-04 23:18:48,,0.9590432978064001,
Mining,2.2230000000000002e-05,HNT2,,,,,Helium,,Block 830976,2021-05-05 01:53:53,,0.00037991070000000004,
Mining,0.05421363,HNT2,,,,,Helium,,Block 831088,2021-05-05 03:34:40,,0.9411486168,
Mining,1.651e-05,HNT2,,,,,Helium,,Block 831229,2021-05-05 05:39:02,,0.00028993211,
Mining,0.5165381000000001,HNT2,,,,,Helium,,Block 831331,2021-05-05 07:13:40,,8.972266797000003,
Mining,0.08691178,HNT2,,,,,Helium,,Block 831422,2021-05-05 08:37:54,,1.503573794,
Mining,2.073e-05,HNT2,,,,,Helium,,Block 831461,2021-05-05 09:12:46,,0.00035997644999999996,
Mining,0.05587423,HNT2,,,,,Helium,,Block 831527,2021-05-05 10:11:57,,0.9683004058999999,
Mining,2.2460000000000002e-05,HNT2,,,,,Helium,,Block 831565,2021-05-05 10:45:51,,0.00039001789999999997,
Mining,2.239e-05,HNT2,,,,,Helium,,Block 831597,2021-05-05 11:13:22,,0.000390047234,
Mining,0.08182602,HNT2,,,,,Helium,,Block 831680,2021-05-05 12:30:19,,1.43694673722,
Mining,2.563e-05,HNT2,,,,,Helium,,Block 831713,2021-05-05 12:58:56,,0.00045008843,
Mining,2.506e-05,HNT2,,,,,Helium,,Block 831823,2021-05-05 14:37:40,,0.00044007866,
Mining,0.05579046,HNT2,,,,,Helium,,Block 831876,2021-05-05 15:22:44,,0.97973626806,
Mining,2.3919999999999998e-05,HNT2,,,,,Helium,,Block 831964,2021-05-05 16:39:18,,0.00042005912,
Mining,0.05868646,HNT2,,,,,Helium,,Block 832007,2021-05-05 17:16:11,,1.03059292406,
Mining,2.6759999999999998e-05,HNT2,,,,,Helium,,Block 832073,2021-05-05 18:16:50,,0.00046993235999999997,
Mining,0.04816711,HNT2,,,,,Helium,,Block 832111,2021-05-05 18:54:08,,0.84586261871,
Mining,0.74332463,HNT2,,,,,Helium,,Block 832155,2021-05-05 19:33:44,,13.051972100098645,
Mining,2.05e-05,HNT2,,,,,Helium,,Block 832188,2021-05-05 20:04:07,,0.00035998,
Mining,0.06855975,HNT2,,,,,Helium,,Block 832351,2021-05-05 22:32:12,,1.235446695,
Mining,0.04147356,HNT2,,,,,Helium,,Block 832863,2021-05-06 11:10:21,,0.7498378174439999,
Mining,4.1910000000000004e-05,HNT2,,,,,Helium,,Block 833072,2021-05-06 14:41:15,,0.00077005434,
Mining,1.07997531,HNT2,,,,,Helium,,Block 833272,2021-05-06 17:45:01,,19.933865171675155,
Mining,2.322e-05,HNT2,,,,,Helium,,Block 833312,2021-05-06 18:25:16,,0.00042990640067880006,
Mining,0.04455601,HNT2,,,,,Helium,,Block 833352,2021-05-06 19:12:41,,0.8209333452475,
Mining,1.317e-05,HNT2,,,,,Helium,,Block 833540,2021-05-06 22:33:36,,0.00023001896899499995,
Mining,1.313e-05,HNT2,,,,,Helium,,Block 833578,2021-05-06 23:25:10,,0.0002300250905238,
Mining,0.13719858000000001,HNT2,,,,,Helium,,Block 833626,2021-05-07 00:15:19,,2.3887507565220005,
Mining,1.206e-05,HNT2,,,,,Helium,,Block 833812,2021-05-07 03:24:47,,0.00020984399999999996,
Mining,0.04655717,HNT2,,,,,Helium,,Block 833886,2021-05-07 04:36:13,,0.813847265902,
Mining,0.04794983,HNT2,,,,,Helium,,Block 833920,2021-05-07 05:08:10,,0.8413597596538974,
Mining,1.11623322,HNT2,,,,,Helium,,Block 833959,2021-05-07 05:45:38,,19.660572898490404,
Mining,0.04587718,HNT2,,,,,Helium,,Block 834100,2021-05-07 08:01:23,,0.7858015429824998,
Mining,0.20110514,HNT2,,,,,Helium,,Block 834171,2021-05-07 09:10:55,,3.468565982065836,
Mining,0.05293145,HNT2,,,,,Helium,,Block 834204,2021-05-07 09:39:43,,0.916042010153556,
Mining,0.32040303000000003,HNT2,,,,,Helium,,Block 834283,2021-05-07 10:51:50,,5.61428676420831,
Mining,0.05244233,HNT2,,,,,Helium,,Block 834391,2021-05-07 12:52:45,,0.9185295076432,
Mining,0.05585878,HNT2,,,,,Helium,,Block 834465,2021-05-07 14:05:03,,0.9859074669999999,
Mining,0.91687152,HNT2,,,,,Helium,,Block 834534,2021-05-07 15:16:05,,16.2213001005552,
Mining,0.39002352,HNT2,,,,,Helium,,Block 834653,2021-05-07 17:11:54,,6.981421008,
Mining,1.14039689,HNT2,,,,,Helium,,Block 834692,2021-05-07 17:47:38,,20.3797021060919,
Mining,0.05910548,HNT2,,,,,Helium,,Block 834728,2021-05-07 18:19:23,,1.065376277,
Mining,3.495e-05,HNT2,,,,,Helium,,Block 834762,2021-05-07 18:50:48,,0.00062997375,
Mining,0.6639536800000001,HNT2,,,,,Helium,,Block 834949,2021-05-07 22:15:03,,11.984363924000002,
Mining,1.7310000000000002e-05,HNT2,,,,,Helium,,Block 835023,2021-05-07 23:22:22,,0.00031002210000000006,
Mining,0.04937388,HNT2,,,,,Helium,,Block 835076,2021-05-08 00:08:57,,0.8793488027999999,
Mining,1.324e-05,HNT2,,,,,Helium,,Block 835273,2021-05-08 03:21:10,,0.0002299396096,
Mining,0.04827689,HNT2,,,,,Helium,,Block 835415,2021-05-08 06:24:37,,0.8649026917194,
Mining,0.04716093,HNT2,,,,,Helium,,Block 835509,2021-05-08 07:59:24,,0.846001058898,
Mining,0.06078522,HNT2,,,,,Helium,,Block 835684,2021-05-08 10:33:36,,1.0740748374000002,
Mining,4.0140000000000005e-05,HNT2,,,,,Helium,,Block 835755,2021-05-08 11:34:22,,0.0007200554040000002,
Mining,0.15046602,HNT2,,,,,Helium,,Block 835834,2021-05-08 12:41:21,,2.6948464182,
Mining,3.721e-05,HNT2,,,,,Helium,,Block 836014,2021-05-08 15:26:58,,0.0006599658978494999,
Mining,3.276e-05,HNT2,,,,,Helium,,Block 836250,2021-05-08 19:10:53,,0.0005893523999999999,
Mining,0.48188861,HNT2,,,,,Helium,,Block 836308,2021-05-08 20:05:27,,8.6306250051,
